InvestFacilitation,FDIInflow,ZInvestFacilitation,InvestProm,ZInvestProm,InvProm_X_InvestFacil
2.8,7,-2.10736,0.18,0.28696,0.51
4.2,12,0.51747,1.13,1.26689,4.77
4.8,12,1.64239,1.09,1.22251,5.24
5,2,2.01737,1.13,1.25787,5.63
4.2,1,0.51747,1.02,1.15287,4.3
5,13,2.01737,1.11,1.24445,5.56
5,12,2.01737,1.21,1.34096,6.03
4.8,2,1.64239,1.15,1.28043,5.51
3.4,4,-0.98244,1.21,1.34502,4.12
3,5,-1.73239,0.13,0.23291,0.38
4.6,4,1.26742,0.15,0.25206,0.68
4.6,6,1.26742,1.04,1.1685,4.78
3.6,9,-0.60746,1.02,1.15396,3.69
4.4,12,0.89244,-0.03,0.07207,-0.12
4.4,5,0.89244,-0.94,-0.86812,-4.15
4.2,12,0.51747,0.16,0.26523,0.67
3.8,11,-0.23248,-0.99,-0.91504,-3.76
4.2,12,0.51747,-2,-1.95756,-8.42
4,6,0.14249,1.13,1.26603,4.54
4.8,11,1.64239,-1.04,-0.96799,-5
3.2,12,-1.35741,-1.99,-1.94476,-6.37
4,7,0.14249,0.99,1.12094,3.97
4.2,2,0.51747,-1.06,-0.9887,-4.46
4.2,9,0.51747,0.06,0.16581,0.26
4.2,1,0.51747,-0.03,0.06619,-0.14
3.8,5,-0.23248,0.05,0.15309,0.19
3.8,7,-0.23248,-1.07,-1.00145,-4.08
4.4,5,0.89244,0.12,0.22442,0.53
4,3,0.14249,0.14,0.24689,0.57
4.4,4,0.89244,-0.07,0.03256,-0.29
4.4,4,0.89244,0.04,0.14101,0.17
3.4,2,-0.98244,0.06,0.16667,0.22
4.4,9,0.89244,-0.89,-0.80942,-3.9
4,9,0.14249,1.12,1.24708,4.46
3.8,7,-0.23248,0.05,0.14933,0.18
3.8,3,-0.23248,-1.06,-0.99064,-4.04
3.4,5,-0.98244,-0.99,-0.9156,-3.37
5,2,2.01737,1.16,1.29473,5.81
3.6,5,-0.60746,-0.97,-0.89827,-3.5
3.4,4,-0.98244,-1.01,-0.93951,-3.44
3.6,6,-0.60746,-0.03,0.07276,-0.1
3.6,4,-0.60746,-0.95,-0.87398,-3.42
4,2,0.14249,0.08,0.1862,0.33
3.2,10,-1.35741,1.06,1.18851,3.39
4.2,9,0.51747,0.08,0.18026,0.32
3.6,8,-0.60746,-1.09,-1.01325,-3.91
4,9,0.14249,-1.09,-1.01344,-4.34
4,8,0.14249,1.18,1.3142,4.72
3.8,7,-0.23248,1.18,1.31838,4.5
4.2,4,0.51747,0.08,0.18529,0.34
4,13,0.14249,1.11,1.24352,4.45
3.8,13,-0.23248,1.2,1.33361,4.56
3.8,3,-0.23248,1.04,1.17457,3.97
3.6,8,-0.60746,-1.13,-1.05702,-4.06
3.6,8,-0.60746,-0.04,0.06379,-0.13
4.6,12,1.26742,1.19,1.32109,5.46
2.4,3,-2.85731,-1.01,-0.93435,-2.42
3.8,6,-0.23248,0.13,0.2315,0.48
3,7,-1.73239,-1.07,-0.99408,-3.2
3.4,9,-0.98244,-1,-0.92528,-3.4
3.8,8,-0.23248,-0.01,0.09048,-0.04
4,8,0.14249,-1.03,-0.95639,-4.12
3.6,6,-0.60746,0.18,0.28279,0.64
4,8,0.14249,-0.95,-0.87518,-3.8
3.6,8,-0.60746,0.05,0.15277,0.18
5,4,2.01737,1.09,1.21574,5.43
4.4,4,0.89244,1.08,1.20619,4.73
5,1,2.01737,1.19,1.32666,5.96
5,2,2.01737,1.16,1.2899,5.79
4.6,13,1.26742,1.2,1.33345,5.52
4,6,0.14249,1.1,1.23306,4.41
4.2,5,0.51747,-0.04,0.05665,-0.18
5,12,2.01737,1.11,1.2459,5.57
5,12,2.01737,1.09,1.22187,5.45
4,2,0.14249,0.01,0.10953,0.03
4.8,1,1.64239,1.16,1.29381,5.57
3,13,-1.73239,1.24,1.37403,3.72
5,4,2.01737,1.13,1.25788,5.63
2.4,2,-2.85731,0.17,0.27523,0.41
3.2,9,-1.35741,-0.89,-0.81358,-2.85
3.4,5,-0.98244,1.06,1.18848,3.6
3.4,4,-0.98244,1.12,1.25152,3.81
4.2,8,0.51747,0.03,0.13697,0.15
4.2,12,0.51747,-3.13,-3.11353,-13.14
4.6,12,1.26742,1.28,1.41945,5.9
4.4,11,0.89244,0.09,0.19817,0.42
